Date,Price
13/01/2024,302.1937344871412
14/01/2024,299.40249177259903
15/01/2024,317.96910509773306
16/01/2024,315.48070323291495
17/01/2024,309.34175002958136
18/01/2024,314.5677329220257
19/01/2024,314.0674293261276
20/01/2024,315.97627175384287
21/01/2024,318.6325570123344
22/01/2024,304.7222133333107
23/01/2024,298.5095874866432
24/01/2024,293.3538084214872
25/01/2024,292.0604392592448
26/01/2024,302.0226742114041
27/01/2024,305.7822741600565
28/01/2024,304.8048510071795
29/01/2024,310.7480866931902
30/01/2024,307.3215919447753
31/01/2024,300.2133197962691
01/02/2024,299.91140489999145
02/02/2024,301.1743543985105
03/02/2024,299.718153248542
04/02/2024,304.7648432086672
05/02/2024,300.81169435831123
06/02/2024,302.80203539789846
07/02/2024,307.8797114234207
08/02/2024,319.31080021633784
09/02/2024,323.39926577986324
10/02/2024,322.83361107940965
11/02/2024,320.51049489651786
12/02/2024,327.9132978808212
13/02/2024,325.11173255625624
14/02/2024,333.8536985075189
15/02/2024,355.02746003084934
16/02/2024,360.9578828784416
17/02/2024,352.82914719992834
18/02/2024,350.1690092811547
19/02/2024,351.8214066446114
20/02/2024,355.1049978271054
21/02/2024,378.9295030528572
22/02/2024,382.1413995274651
23/02/2024,375.42971250175134
24/02/2024,381.9276527408514
25/02/2024,388.5627138238604
26/02/2024,401.2142854224812
27/02/2024,395.0555551914822
28/02/2024,416.2538492385853
29/02/2024,399.78649632596665
01/03/2024,407.3488446334545
02/03/2024,410.8365341154477
03/03/2024,414.1969057841646
04/03/2024,420.0075598101946
05/03/2024,396.6567264804029
06/03/2024,428.8021344903565
07/03/2024,473.4638575740399
08/03/2024,485.3064086191258
09/03/2024,490.1373606436068
10/03/2024,528.9501964460305
11/03/2024,522.8420431012881
12/03/2024,539.4042062887337
13/03/2024,628.4543092213498
14/03/2024,603.2657507579988
15/03/2024,621.6567029445225
16/03/2024,575.4381141809567
17/03/2024,572.0297309383858
18/03/2024,554.2073180923328
19/03/2024,507.01221814701705
20/03/2024,556.5082042653142
21/03/2024,553.7225434912489
22/03/2024,549.8607543980085
23/03/2024,554.1644153997655
24/03/2024,568.7407679771118
25/03/2024,586.4285039935903
26/03/2024,580.8520230009177
27/03/2024,575.5479374384904
28/03/2024,583.2907441256798
29/03/2024,616.5829205548276
30/03/2024,601.2065057456366
31/03/2024,606.6259820801984
01/04/2024,577.9573539863145
02/04/2024,550.8593008357556
03/04/2024,563.5991778362661
04/04/2024,585.5721433827005
05/04/2024,580.0675207216524
06/04/2024,585.3939720444681
07/04/2024,584.2989455387399
08/04/2024,587.4568516935112
09/04/2024,581.1647037421283
10/04/2024,609.123248047515
11/04/2024,605.5067164919742
12/04/2024,596.6581334690918
13/04/2024,557.2794114511632
14/04/2024,567.902176887771
15/04/2024,553.3017633641251
16/04/2024,536.8348802946696
17/04/2024,535.0175176971552
18/04/2024,551.5807533445236
19/04/2024,556.7663487174977
20/04/2024,570.6183474282204
21/04/2024,578.8970832148715
22/04/2024,605.2562833353201
23/04/2024,606.9990457775368
24/04/2024,607.5531188061954
25/04/2024,614.4011068572441
26/04/2024,597.8836087058611
27/04/2024,596.3986208196151
28/04/2024,599.5751191835121
29/04/2024,593.2491133866707
30/04/2024,578.1898622510048
01/05/2024,562.220221163871
02/05/2024,560.7053414580814
03/05/2024,586.4329441429846
04/05/2024,585.7091919899577
05/05/2024,591.5696864234413
06/05/2024,587.9975276703907
07/05/2024,577.8207580787184
08/05/2024,588.6001816817056
09/05/2024,596.3634049227411
10/05/2024,585.63209486269
11/05/2024,591.5322705643867
12/05/2024,594.0478928219344
13/05/2024,591.4430302446636
14/05/2024,566.6540797108654
15/05/2024,582.2776668543061
16/05/2024,569.1833921144822
17/05/2024,581.3528348007209
18/05/2024,579.6733289621226
19/05/2024,574.2318739013161
20/05/2024,600.7777660119472
21/05/2024,618.8192565287056
22/05/2024,614.7193778227489
23/05/2024,598.7991409330791
24/05/2024,600.0237430352892
25/05/2024,602.185289762264
26/05/2024,600.0099567532791
27/05/2024,603.7379863160476
28/05/2024,601.027199842003
29/05/2024,595.1906949308271
30/05/2024,595.0819435647909
31/05/2024,593.7073159967216
01/06/2024,600.9239789843393
02/06/2024,602.9471398632894
03/06/2024,626.564554887942
04/06/2024,686.5106675772284
05/06/2024,699.924112025121
06/06/2024,710.0434830589062
07/06/2024,683.3383279797964
08/06/2024,682.7827497468624
09/06/2024,673.495305137746
10/06/2024,624.1111865882733
11/06/2024,601.6892499687187
12/06/2024,618.8387734028372
13/06/2024,599.1566520664575
14/06/2024,603.0538175934126
15/06/2024,607.8065562169128
16/06/2024,609.8330309332431
17/06/2024,603.9317705958817
18/06/2024,588.3547299332587
19/06/2024,598.1823995707931
20/06/2024,586.9059353494202
21/06/2024,585.8611030285144
22/06/2024,590.5596486180493
23/06/2024,577.112305791683
24/06/2024,568.2866257920481
25/06/2024,578.10170306042
26/06/2024,571.9653901943021
27/06/2024,580.4848098316352
28/06/2024,566.7791835235641
29/06/2024,569.037979199843
30/06/2024,581.7785946481981
01/07/2024,576.4582104446572
02/07/2024,579.0244502710267
03/07/2024,556.9797154228937
04/07/2024,513.9453755496933
05/07/2024,498.621967801353
06/07/2024,527.4566371635227
07/07/2024,489.8966088738004
08/07/2024,510.23246278627056
09/07/2024,516.6700504533386
10/07/2024,524.2934683955484
11/07/2024,525.4243568486237
12/07/2024,533.79693592098
13/07/2024,531.8300862413389
14/07/2024,544.9923777318921
15/07/2024,586.5021629410871
16/07/2024,577.0733320025251
17/07/2024,568.6629868188512
